id_acidente;cadloga;cadlogb;alt_num;referencia;data;cod_acid;dp;talao;feridos;mortos;distrito_atz;princ_a;princ_b;tipo_acidente;automovel;moto;onibus;caminhao;bicicleta;moto_taxi;onibus_fretado;onibus_urbano;microonibus;van;vuc;caminhonete;carreta;jipe;outros;sem_info;carroca;latitude;longitude;end;geocode;flag_cruzamento
D081700250;36068;;220;;8/15/2017 17:11;2;49;7903;1;0;73;36068;;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.598369;-46.462631;RUA   MARIA APARECIDA CUSTODIO, 220;MapInfo CET;FALSE
D021700827;6897;4933;0;;2/9/2017 17:15;2;14;1169;1;0;35;4933;6897;CO;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.581275;-46.68427;AVENIDA BRIG  FARIA LIMA X AVENIDA   CIDADE JARDIM;MapInfo CET;TRUE
D071700925;73416;;300;;7/5/2017 17:15;2;24;5501;1;0;18;73416;;CL;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-23.495756;-46.498963;RUA   ERVALAMEDA SECO, 300;MapInfo CET;FALSE
D121700444;16337;;3980;;12/11/2017 17:15;2;34;3803;1;0;94;16337;;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.59423;-46.7433;AVENIDA   ELISEU DE ALMEIDA, 3980;MapInfo CET;FALSE
D091702959;8000;;5400;;9/21/2017 17:17;2;89;7281;1;0;83;8000;;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.627115;-46.735495;AVENIDA   GIOVANNI GRONCHI, 5400;MapInfo CET;FALSE
D081700638;38221;;311;;8/5/2017 17:20;2;85;7324;1;0;30;38221;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.770309;-46.687805;RUA   AGENOR KLAUSSNER, 311;MapInfo CET;FALSE
D121700796;5245;;881;;12/14/2017 17:20;2;4;5818;1;0;26;5245;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.548301;-46.649798;RUA  DA CONSOLACAO, 881;MapInfo CET;FALSE
D021700069;3813;;6741;;2/5/2017 17:21;2;20;1217;1;0;51;3813;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.476529;-46.627708;AVENIDA ENG  CAETANO ALVARES, 6741;MapInfo CET;FALSE
D061701134;12249;44645;0;;6/19/2017 17:26;2;38;2618;1;0;51;12249;44645;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.485667;-46.651617;RUA   VICENTE MELRO X AVENIDA   DIREITOS HUMANOS;MapInfo CET;TRUE
D021700105;36061;;390;;2/25/2017 17:30;2;9;847;1;0;86;36061;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.499175;-46.613302;AVENIDA   LUIZ DUMONT VILLARES, 390;MapInfo CET;FALSE
D051700588;17000;2301;0;;5/17/2017 17:30;2;3;2688;1;0;66;2301;17000;QB;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.54264;-46.644445;PRACA  DA REPUBLICA X RUA  DO AROUCHE;MapInfo CET;TRUE
D071700943;9198;;1100;;7/8/2017 17:30;2;18;1099;1;0;53;9198;;CH;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.56108;-46.593823;RUA VISC DE INHOMERIM, 1100;MapInfo CET;FALSE
D081702342;10036;25023;0;;8/8/2017 17:30;2;85;7449;1;0;30;10036;99639;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.731584;-46.688201;RUA   JEQUIRITUBA X RUA   CECILIA MELO VASCONCELOS;MapInfo CET;TRUE
D091702858;15425;;4595;;9/29/2017 17:30;2;74;7456;1;0;11;15425;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.449798;-46.70071;AVENIDA DEP  CANTIDIO SAMPAIO, 4595;MapInfo CET;FALSE
D091703665;222;;674;;9/7/2017 17:30;2;11;11294;1;0;71;222;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.647451;-46.702262;AVENIDA   ADOLFO PINHEIRO, 674;MapInfo CET;FALSE
D111700061;10485;;850;;11/8/2017 17:30;2;12;4881;1;0;10;10485;;CL;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.534499;-46.624379;RUA   JOAO TEODORO, 850;MapInfo CET;FALSE
D121700143;14270;;5840;;12/16/2017 17:30;2;90;3646;1;0;89;29772;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.525658;-46.570518;AVENIDA   MORVAN DIAS DE FIGUEIREDO, 5840;MapInfo CET;FALSE
D071700004;18408;;2619;;7/4/2017 17:37;2;42;1722;1;0;72;18408;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.587133;-46.53372;RUA   SOLIDONIO LEITE, 2619;MapInfo CET;FALSE
D111702368;15507;;3161;;11/14/2017 17:39;2;101;10772;0;1;23;15507;;QB;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.729685;-46.698632;AVENIDA SEN  TEOTONIO VILELA, 3161;MapInfo CET;FALSE
D051700471;72910;;283;;5/7/2017 17:40;2;62;3727;1;0;28;72910;;CL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.500684;-46.473418;RUA   ANTONIO CARLOS LAMEGO, 283;MapInfo CET;FALSE
D051700591;22555;;800;;5/11/2017 17:40;2;68;1817;1;0;5;22555;;CL;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.541519;-46.475028;AVENIDA   JOSE PINHEIRO BORGES, 800;MapInfo CET;FALSE
D061700895;7835;;341;;6/11/2017 17:40;2;91;3131;1;0;62;7835;;CO;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-23.570966;-46.683641;PRACA   GASTAO VIDIGAL, 341;MapInfo CET;FALSE
D091702901;9006;;550;;9/27/2017 17:43;2;73;10115;1;0;39;9006;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.461526;-46.575623;RUA   IGARITE, 550;MapInfo CET;FALSE
D061700130;3813;;3450;;6/19/2017 17:45;2;13;5530;1;0;21;3813;;CL;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;-23.489071;-46.652936;AVENIDA ENG  CAETANO ALVARES, 3450;MapInfo CET;FALSE
D111702900;27613;;800;;11/23/2017 17:45;2;74;8895;1;0;11;27613;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.448096;-46.700009;RUA   DANIEL CERRI, 800;MapInfo CET;FALSE
D081701554;6361;;4200;;8/26/2017 17:46;2;45;6495;0;1;29;6361;;QB;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.466177;-46.711616;AVENIDA   ELISIO TEIXEIRA LEITE, 4200;MapInfo CET;FALSE
D081700659;10630;;1;;8/28/2017 17:48;4;36;2250;1;0;32;10630;;AT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.580429;-46.659736;AVENIDA   PEDRO ALVARESTRADA CABRAL, 1;MapInfo CET;FALSE
D041701076;16870;16358;0;;4/4/2017 17:50;2;12;2225;1;0;10;16358;16870;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.545565;-46.620844;AVENIDA   RANGEL PESTANA X RUA   PIRATININGA;MapInfo CET;TRUE
D011700767;45241;;868;;1/10/2017 18:00;2;73;372;1;0;81;45241;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.450817;-46.585024;RUA  DOS FILHOS DA TERRA, 868;MapInfo CET;FALSE
D031700553;19264;;100;;3/8/2017 18:00;2;6;1597;1;0;49;19264;;CO;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.570394;-46.63169;AVENIDA   TURMALINA, 100;MapInfo CET;FALSE
D061700001;11883;8023;0;;6/2/2017 18:00;2;77;3135;1;0;69;8023;11883;CO;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-23.535199;-46.646984;ALAMEDA BR DE LIMEIRA X ALAMEDA   GLETE;MapInfo CET;TRUE
D101703152;6187;41868;0;;10/27/2017 18:00;2;65;8483;1;0;5;6187;41868;CL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.550881;-46.494922;AVENIDA PROF  EDGAR SANTOS X AVENIDA CD  LUIZ EDUARDO MATARAZZO;MapInfo CET;TRUE
D111700105;2429;;800;;11/6/2017 18:00;2;10;9144;1;0;18;2429;;CO;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.508298;-46.54302;RUA DR  ASSIS RIBEIRO, 800;MapInfo CET;FALSE
D111702535;914;;59;;11/1/2017 18:08;2;87;7371;2;0;63;914;;CO;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;-23.489334;-46.717835;PRACA   ALVESTRADA BARBOSA, 59;MapInfo CET;FALSE
D101702934;29031;;5;;10/9/2017 18:10;2;28;4104;1;0;6;13605;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.510231;-46.689919;PONTE   FREGUESIA DO O, 5;MapInfo CET;FALSE
D021700602;9512;5476;0;;2/13/2017 18:17;2;39;1569;1;0;92;5476;9512;CV;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-23.486206;-46.573461;RUA   ITAMONTE X RUA   CRISCIUMA;MapInfo CET;TRUE
D031700551;14453;8536;0;;3/8/2017 18:30;2;3;1625;1;0;66;8536;14453;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.539274;-46.642742;RUA CONS  NEBIAS X RUA  DOS GUSMOES;MapInfo CET;TRUE
D061700553;9046;;7001;;6/4/2017 18:30;2;54;2991;1;0;35;9046;;CT;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.582009;-46.683775;RUA   IGUATEMI, 7001;MapInfo CET;FALSE
D081700639;17799;;1723;;8/27/2017 18:30;2;13;7671;1;0;70;17799;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.508221;-46.62868;AVENIDA   SANTOS DUMONT, 1723;MapInfo CET;FALSE
D091702980;27427;;1;;9/25/2017 18:30;2;24;7690;1;0;18;27427;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.501019;-46.510594;PRACA   VIVIANE DIAS SEGURA, 1;MapInfo CET;FALSE
D091703059;26500;;442;;9/29/2017 18:33;2;27;8403;1;0;71;26500;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.62959;-46.684727;AVENIDA PROF  VICENTE RAO, 442;MapInfo CET;FALSE
D091703361;14111;;8;;9/26/2017 18:35;2;51;3215;1;0;67;14111;;CL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.585645;-46.757078;RUA DR  SAMPAIO FREIRE, 8;MapInfo CET;FALSE
D021700925;11982;;275;;2/1/2017 18:37;2;73;1080;1;0;39;11982;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.467048;-46.574869;RUA   LOPESTRADA DA COSTA, 275;MapInfo CET;FALSE
D031700774;72736;73418;0;;3/29/2017 18:38;2;44;900046;1;0;31;72736;73418;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.566795;-46.401023;RUA   FERNANDESTRADA PALERO X RUA   FERNANDO DE AUGSBURGO;MapInfo CET;TRUE
D051701136;11999;;227;;5/24/2017 18:40;2;20;4994;1;0;51;11999;;CL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.479808;-46.625157;RUA   LARIVALAMEDA GEA SANCHES, 227;MapInfo CET;FALSE
